Date,Value
10-Nov-21,99.792
,99.345
,99.66
,99.75
,99.738
,99.782
,99.955
,100.21
,100.14
,99.924
20-Nov-21,99.911
,99.831
,99.721
,99.562
,99.464
,99.236
,100.14
,100.16
,100.11
,99.954
,99.715
01-Dec-21,99.616
,99.748
,99.665
,99.61
,99.614
,99.984
,99.884
,99.565
,99.957
10-Dec-21,100.58
,100.48
,100.4
,100.19
,100.61
,101.1
,101.48
,101
,100.74
,100.56
20-Dec-21,100.06
,100.43
,100.79
,100.63
,100.54
,100.56
,101.06
,100.79
,100.37
,100.62
,100.47
,100.83
01-Jan-22,100.83
,100.75
,100.3
,100.85
,100.9
,100.73
,101.19
,100.87
,100.91
10-Jan-22,100.57
,100.64
,101.16
,101.43
,101.41
,101.73
,101.55
,101.33
,101.47
,101.33
20-Jan-22,101.21
,100.89
,100.89
,100.86
,100.67
,100.99
,101.04
,100.69
,100.5
,100.54
,100.53
,100.26
01-Feb-22,101.11
,101.49
,101.52
,101
,101.05
,101.02
,101.05
,101.18
,101.24
10-Feb-22,102.39
,102.56
,102.59
,102.39
,102.42
,101.83
,101.84
,102.26
,101.53
,101.53
20-Feb-22,101.52
,101.71
,101.43
,101.13
,100.84
,100.63
,100.66
,100.34
,101.05
01-Mar-22,101.03
,101.26
,101.3
,101.09
,101.08
,100.97
,101.06
,100.73
,100.33
10-Mar-22,99.974
,100.05
,100.08
,100.18
,99.515
,99.489
,99.898
,99.948
,100.11
,100.11
20-Mar-22,100.01
,100.48
,100.95
,101.09
,100.7
,100.7
,100.61
,100.49
,99.623
,99.109
,99.619
,99.807
01-Apr-22,99.605
,99.611
,99.573
,98.934
,98.68
,99.261
,99.228
,98.962
,98.962
10-Apr-22,98.977
,98.8
,99.018
,99.872
,99.768
,99.682
,99.689
,99.694
,99.254
,99.42
20-Apr-22,99.659
,99.378
,98.164
,98.177
,98.128
,97.489
,96.6
,95.853
,95.424
,96.218
,96.218
01-May-22,96.295
,95.621
,95.549
,95.815
,94.661
06-May-22,94.956
